videoId,channelId
xAPfG-6URWk,UCpPOf9BQPwa4K11Zjxu1ZPw
wgTOQBjFsrk,UCpPOf9BQPwa4K11Zjxu1ZPw
e00vtZg12vQ,UCpPOf9BQPwa4K11Zjxu1ZPw
ejllQZ2RsN8,UCpPOf9BQPwa4K11Zjxu1ZPw
Jxl1ghrizQc,UCpPOf9BQPwa4K11Zjxu1ZPw
xcXjLb5uPSE,UCpPOf9BQPwa4K11Zjxu1ZPw
gi26kaX_dDg,UCpPOf9BQPwa4K11Zjxu1ZPw
K4iXOyuaq4U,UCpPOf9BQPwa4K11Zjxu1ZPw
Arhkaf-uJeU,UCpPOf9BQPwa4K11Zjxu1ZPw
mAEaHbj0PI8,UCpPOf9BQPwa4K11Zjxu1ZPw
nfWmaGpz5Co,UCpPOf9BQPwa4K11Zjxu1ZPw
_hrafm7pnKY,UCpPOf9BQPwa4K11Zjxu1ZPw
XYr5as83OZg,UCpPOf9BQPwa4K11Zjxu1ZPw
5-QvCi6FCOI,UCpPOf9BQPwa4K11Zjxu1ZPw
VBqlfeTP708,UCpPOf9BQPwa4K11Zjxu1ZPw
KlSjGmKpZHg,UCpPOf9BQPwa4K11Zjxu1ZPw
RyGWqyRbMFo,UCpPOf9BQPwa4K11Zjxu1ZPw
7-MXn-uG2Us,UCpPOf9BQPwa4K11Zjxu1ZPw
TSoz337mRJ0,UCpPOf9BQPwa4K11Zjxu1ZPw
ET9HeSFYlEs,UCpPOf9BQPwa4K11Zjxu1ZPw
QTD3BctP7a8,UCjKyGA-ELZ_IfetdwF4MjBw
zt0lagK-huE,UCpPOf9BQPwa4K11Zjxu1ZPw
wAzGlZ6M-WI,UCpPOf9BQPwa4K11Zjxu1ZPw
7AVp86bwAa0,UCpPOf9BQPwa4K11Zjxu1ZPw
hMeDKhZiuKA,UCZbjNj8Aj-7xgbgEN9-BC0g
6EJmHNOYH3M,UCpPOf9BQPwa4K11Zjxu1ZPw
VwD3o_AWcas,UCjKyGA-ELZ_IfetdwF4MjBw
Cs5sW-HTbsw,UCpPOf9BQPwa4K11Zjxu1ZPw
lbehZm72uAI,UCpPOf9BQPwa4K11Zjxu1ZPw
SvxSipp5dos,UCzgzvzfiBJy-IA4c19cScIw
_3uDTjY7tkU,UCpPOf9BQPwa4K11Zjxu1ZPw
4xWkwT4uTd8,UCndTh499qJTWHcYgCJd9_iQ
LKqMOFb2tI0,UCpPOf9BQPwa4K11Zjxu1ZPw
OXdzKMKxDA0,UCvcb2D95T654M_ZDz04PNAQ
Ugp1rr0nN8c,UCw9lfzCUO706CMtk6m3eXSg
SeXRUN2D0yE,UClEBIe3HiPtlvBTNdgILRhA
4YdajPSPOFM,UCvcb2D95T654M_ZDz04PNAQ
O9WqeOnGsjE,UCeCmefMnZMX97VKcoNhzSdg
GAmlGn12Do4,UCSqEVSESERG9--rvIfCfKsw
cn8_jW1fpmg,UCNg5_--ISWWuv-qR7aKxYNw
QhHx5rXJrQ8,UCjKyGA-ELZ_IfetdwF4MjBw
lKAnZtF610w,UC3LFSMGtE87P8tTvv0pLxTg
oXw1Xu-OWuU,UCvB1p2SF2Yw85jQ1BfzVnrQ
7T4R1gHN-Zc,UCpPOf9BQPwa4K11Zjxu1ZPw
sxdywTQoXog,UCvcb2D95T654M_ZDz04PNAQ
GM2TvYPnKQU,UCpPOf9BQPwa4K11Zjxu1ZPw
5XFlCQveWbU,UCjKyGA-ELZ_IfetdwF4MjBw
Bnhqy-VJhK4,UCNg5_--ISWWuv-qR7aKxYNw
4z7jf90jK5w,UCvcb2D95T654M_ZDz04PNAQ
ctQomv1AeGY,UCGRvzoDTshimrO7K3n6PIcA
OHDPCY4zHXQ,UCCOBrBvx9x1h3xvWLT7kMSA
A1bJfeGRF_0,UCtnIpuVUsR4Q9yF1Yrh12jA
Q3Ft_5Z7yFw,UC9q5hRXh6K4Iuky5fs6IkPw
7-HS8FPqQY0,UCgdd4QgX7t0neq67kDlaF_Q
QXszKcZTMlk,UCR8yXw9FwaMuCJyAQo9l5Kg
iw7cbBILOQw,UCNg5_--ISWWuv-qR7aKxYNw
S90VpRfmN0o,UC6K1qpxFNxfK85DSLz5ubwQ
-9FalMZarJ8,UCpPOf9BQPwa4K11Zjxu1ZPw
kw6Q9bWeLR4,UCtmxblSI-zfZCL7ixt6t_Ug
uR4AI0a8AjM,UC-raZ4GtRM1hAwTcsGfuNSg
3112_E08Eb4,UC2kNmBUAKgkFyLxkkwRxL-A
0ADDCZYB5Jo,UCBXTT573cLN-vYESM6UU55Q
bSSDMUZ_hJE,UCvcb2D95T654M_ZDz04PNAQ
CfuggmwpSGQ,UCyY-8oABdMFxqX1cFIHG5aQ
1MStZtfGuSg,UCsYnCVoe8guGPB7W1ml5Nsg
E8ujTHpxwr4,UC4GueYD0ylqfvxy_YDvvZ5w
oZP70PfEVzE,UCyQzObisogekmpyfi5p2e_g
ktbkRqARFzs,UCcV40gnTH9-T8yw3FHjzWZQ
3MbX4gPL5VY,UCebpq6lNn_oV_Y2XiRzR3Vg
GqM2mNPTMJk,UCtmxblSI-zfZCL7ixt6t_Ug
K1TQYC6yJM0,UCyY-8oABdMFxqX1cFIHG5aQ
FGd9VcEoxJs,UC9q5hRXh6K4Iuky5fs6IkPw
IVb_qyQk7y0,UCx4qROMJdq7tNgf9X_GqLGA
oVHvNxKcFmU,UCmOhK3i0hSyISsTy1WtVLRg
GrkYAXTHFuc,UCrxGNSlTIMpJpkO3407uFEA
5NpLC2l-4Io,UCjKyGA-ELZ_IfetdwF4MjBw
XNksRhPdJYs,UC5a91ejXpr24okT5d_sokCA
XLbDu_IaaU4,UCOL5zAnDluXwmdKDOQrTXEw
IMg8RBvZCA0,UCnws2k62Vz0tR-btSeKBMqA
pqF3yuLwmIU,UCeCmefMnZMX97VKcoNhzSdg
--zNKPlVCW4,UClEBIe3HiPtlvBTNdgILRhA
